time: 2022-06-08 16:20:01,503, function: meta_loader, module: data_cleaning, message: Dataframe successfully loaded 

time: 2022-06-08 16:20:01,503, function: meta_loader, module: data_cleaning, message: Dataframe successfully loaded 

time: 2022-06-08 16:20:01,503, function: meta_loader, module: data_cleaning, message: Dataframe successfully loaded 

time: 2022-06-08 16:20:01,503, function: meta_loader, module: data_cleaning, message: Dataframe successfully loaded 

time: 2022-06-08 16:20:01,552, function: meta_loader, module: data_cleaning, message: Dataframe successfully loaded 

time: 2022-06-08 16:20:01,552, function: meta_loader, module: data_cleaning, message: Dataframe successfully loaded 

time: 2022-06-08 16:20:01,552, function: meta_loader, module: data_cleaning, message: Dataframe successfully loaded 

time: 2022-06-08 16:20:01,552, function: meta_loader, module: data_cleaning, message: Dataframe successfully loaded 

time: 2022-06-08 17:25:30,432, function: meta_loader, module: data_cleaning, message: Dataframe successfully loaded 

time: 2022-06-08 17:25:30,439, function: meta_loader, module: data_cleaning, message: Dataframe successfully loaded 

time: 2022-06-08 18:27:21,931, function: meta_loader, module: data_cleaning, message: Dataframe successfully loaded 

time: 2022-06-08 18:27:21,931, function: meta_loader, module: data_cleaning, message: Dataframe successfully loaded 

time: 2022-06-08 18:27:21,943, function: meta_loader, module: data_cleaning, message: Dataframe successfully loaded 

time: 2022-06-08 18:27:21,943, function: meta_loader, module: data_cleaning, message: Dataframe successfully loaded 

time: 2022-06-08 20:01:14,389, function: meta_loader, module: data_cleaning, message: Dataframe successfully loaded 

time: 2022-06-08 20:01:14,389, function: meta_loader, module: data_cleaning, message: Dataframe successfully loaded 

time: 2022-06-08 20:01:14,389, function: meta_loader, module: data_cleaning, message: Dataframe successfully loaded 

time: 2022-06-08 20:01:14,417, function: meta_loader, module: data_cleaning, message: Dataframe successfully loaded 

time: 2022-06-08 20:01:14,417, function: meta_loader, module: data_cleaning, message: Dataframe successfully loaded 

time: 2022-06-08 20:01:14,417, function: meta_loader, module: data_cleaning, message: Dataframe successfully loaded 

time: 2022-06-09 09:30:27,643, function: meta_loader, module: data_cleaning, message: Dataframe successfully loaded 

time: 2022-06-09 09:30:27,651, function: meta_loader, module: data_cleaning, message: Dataframe successfully loaded 

